Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
14.06.2024,"12,3504","12,1134","13,1954","11,9375",,"1,94%"
13.06.2024,"12,1154","12,345","12,7902","11,7364",,"-1,42%"
12.06.2024,"12,2896","12,3052","12,3901","12,2095",,"-0,10%"
11.06.2024,"12,3021","12,259","12,3362","11,9021",,"0,33%"
10.06.2024,"12,2614","12,2838","12,4561","12,0217",,"0,27%"
07.06.2024,"12,2286","12,3284","12,3558","12,1446",,"-0,79%"
06.06.2024,"12,3263","12,29","12,3613","12,1921",,"0,33%"
05.06.2024,"12,2859","12,2681","12,3401","12,165",,"0,47%"
04.06.2024,"12,228","12,3338","12,3635","12,2006",,"-0,85%"
03.06.2024,"12,3328","12,477","12,4931","12,2472",,"-1,17%"
31.05.2024,"12,4794","12,4885","12,6133","12,2268",,"-0,14%"
30.05.2024,"12,497","12,3568","12,5026","12,293",,"1,15%"
29.05.2024,"12,3554","12,2211","12,4443","12,1692",,"1,07%"
28.05.2024,"12,2249","12,2772","12,3594","12,1061",,"-0,42%"
27.05.2024,"12,2768","12,3709","12,4262","12,0549",,"-0,75%"
24.05.2024,"12,3691","12,6478","12,7461","12,1274",,"-2,23%"
23.05.2024,"12,6509","12,4539","12,7671","12,1729",,"1,57%"
22.05.2024,"12,4552","12,5036","12,6628","12,3223",,"-0,07%"
21.05.2024,"12,4645","12,5361","12,5675","12,4203",,"-0,52%"
20.05.2024,"12,5298","12,5875","12,691","12,2493",,"-0,51%"
17.05.2024,"12,5942","12,5765","12,6379","12,5394",,"0,07%"
16.05.2024,"12,5858","12,6299","12,6565","12,455",,"0,14%"
15.05.2024,"12,5687","12,6257","12,6942","12,5686",,"-0,43%"
14.05.2024,"12,6233","12,6599","12,7075","12,4729",,"-0,32%"
13.05.2024,"12,6634","12,8163","12,8693","12,5345",,"-1,24%"
10.05.2024,"12,8219","12,8111","12,8921","12,5963",,"0,07%"
09.05.2024,"12,8126","12,699","12,8877","12,6963",,"1,05%"
08.05.2024,"12,6796","12,6625","12,7879","12,627",,"0,10%"
07.05.2024,"12,667","12,6515","12,7257","12,5859",,"0,28%"
06.05.2024,"12,6317","12,6891","12,8722","12,4533",,"0,66%"
03.05.2024,"12,5487","12,7743","13,0071","12,4867",,"-0,27%"
02.05.2024,"12,5821","12,8499","13,071","12,4631",,"-2,32%"
01.05.2024,"12,8807","12,9285","13,0574","12,8737",,"-0,17%"
30.04.2024,"12,9031","12,9054","12,9611","12,7673",,"0,00%"
29.04.2024,"12,9028","12,6805","12,9586","12,6135",,"1,77%"
26.04.2024,"12,6786","12,7356","12,8494","12,5373",,"-0,45%"
25.04.2024,"12,7361","12,7414","12,7874","12,6657",,"-0,01%"
24.04.2024,"12,7373","12,8653","12,9683","12,644",,"-0,97%"
23.04.2024,"12,8622","12,9415","13,117","12,6537",,"-0,28%"
22.04.2024,"12,8978","12,8476","13,0135","12,5947",,"0,39%"
19.04.2024,"12,8474","13,0169","13,1364","12,7452",,"-0,84%"
18.04.2024,"12,9565","13,0032","13,2032","12,9054",,"-0,29%"
17.04.2024,"12,9944","13,0103","13,1272","12,9448",,"-0,09%"
16.04.2024,"13,0062","12,9135","13,0939","12,8463",,"0,70%"
15.04.2024,"12,9164","12,8925","12,9893","12,8639",,"0,20%"
12.04.2024,"12,8904","12,8983","13,0704","12,8348",,"0,46%"
11.04.2024,"12,8314","12,894","13,1286","12,791",,"-0,50%"
10.04.2024,"12,8959","12,8446","12,9721","12,7874",,"0,41%"
09.04.2024,"12,8433","12,7821","12,9886","12,6573",,"0,27%"
08.04.2024,"12,8086","12,7983","12,8632","12,6897",,"0,17%"
05.04.2024,"12,7871","12,7714","12,8526","12,6318",,"0,28%"
04.04.2024,"12,7508","12,7638","13,0694","12,5562",,"-0,05%"
03.04.2024,"12,7577","12,7844","12,8489","12,6664",,"-0,20%"
02.04.2024,"12,7829","12,763","12,9073","12,7138",,"0,16%"
01.04.2024,"12,7621","12,8132","12,8132","12,6831",,"-0,43%"
29.03.2024,"12,8175","12,8111","12,8365","12,7565",,"0,35%"
28.03.2024,"12,7733","12,7936","12,8706","12,6715",,"-0,14%"
27.03.2024,"12,7908","12,8104","12,8656","12,7084",,"-0,14%"
26.03.2024,"12,8093","12,8867","12,9074","12,6866",,"-0,55%"
25.03.2024,"12,8803","12,7808","12,9634","12,7666",,"1,08%"
22.03.2024,"12,7421","12,7613","13,0015","12,6556",,"-0,14%"
21.03.2024,"12,7605","12,821","12,8526","12,7002",,"-0,41%"
20.03.2024,"12,8128","12,8459","12,914","12,7789",,"0,00%"
19.03.2024,"12,8122","12,7422","12,9293","12,682",,"0,86%"
18.03.2024,"12,7029","12,8542","12,9852","12,6882",,"-1,19%"
15.03.2024,"12,8561","12,7366","12,9262","12,7059",,"1,06%"
14.03.2024,"12,7209","12,7063","12,798","12,6678",,"0,09%"
13.03.2024,"12,7089","12,7629","12,8527","12,5944",,"-0,45%"
12.03.2024,"12,7662","12,641","12,8259","12,6152",,"0,79%"
11.03.2024,"12,6664","12,6512","12,8851","12,3609",,"0,18%"
08.03.2024,"12,6432","12,6059","12,7256","12,5673",,"0,33%"
07.03.2024,"12,6017","12,6082","12,6938","12,5508",,"-0,04%"
06.03.2024,"12,6067","12,6389","12,7179","12,464",,"-0,26%"
05.03.2024,"12,6401","12,7032","12,7311","12,5407",,"-0,24%"
04.03.2024,"12,6706","12,7418","12,7659","12,6336",,"-0,55%"
01.03.2024,"12,7401","12,6971","12,8752","12,5727",,"0,11%"
29.02.2024,"12,7261","12,7204","12,7962","12,514",,"0,07%"
28.02.2024,"12,7175","12,7848","12,8342","12,6375",,"-0,52%"
27.02.2024,"12,784","12,8695","12,9002","12,7022",,"-0,67%"
26.02.2024,"12,8697","13,01","13,095","12,7162",,"-1,07%"
23.02.2024,"13,009","12,9749","13,37","12,7495",,"0,59%"
22.02.2024,"12,9321","12,782","13,1844","12,7067",,"1,08%"
21.02.2024,"12,794","12,8334","12,9963","12,6754",,"-0,08%"
20.02.2024,"12,8046","12,8321","12,9106","12,6433",,"-0,18%"
19.02.2024,"12,8279","12,7888","12,9242","12,6472",,"0,32%"
